CODIGO_ACTIVIDAD,ARO,TIPO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,ACTIVIDADES,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
1.1,CALI,CONTRATISTA,Enero - Marzo,2026,6,3,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
1.1,CALI,PLANTA,Enero - Marzo,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
1.1,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,12.0,6.0,6.0,7.0,1.0,0.5,0.5,Bajo
1.1,TULUA,CONTRATISTA,Enero - Marzo,2026,11,3,1,11.0,11.0,0.0,0.0,0.0,1.0,1.0,Cumplido
1.1,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,2.0,1.0,1.0,1.0,0.0,0.5,0.5,Bajo
1.10,CALI,CONTRATISTA,Enero - Marzo,2026,7,4,1,112.0,60.0,52.0,52.0,0.0,0.5357142857142857,0.5357142857142857,Bajo
1.10,CALI,PLANTA,Enero - Marzo,2026,3,1,1,11.0,5.0,6.0,8.0,2.0,0.45454545454545453,0.45454545454545453,Bajo
1.10,CARTAGO,CONTRATISTA,Enero - Marzo,2026,12,2,1,58.0,58.0,0.0,0.0,0.0,1.0,1.0,Cumplido
1.10,CARTAGO,PLANTA,Enero - Marzo,2026,8,1,1,22.0,9.0,13.0,13.0,0.0,0.4090909090909091,0.4090909090909091,Bajo
1.10,TULUA,CONTRATISTA,Enero - Marzo,2026,11,3,1,117.0,107.0,10.0,11.0,1.0,0.9145299145299145,0.9145299145299145,Cumplido
1.10,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,15.0,9.0,6.0,6.0,0.0,0.6,0.6,Bajo
1.11,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
1.13,CALI,CONTRATISTA,Enero - Marzo,2026,7,4,1,106.0,55.0,51.0,51.0,0.0,0.5188679245283019,0.5188679245283019,Bajo
1.13,CALI,PLANTA,Enero - Marzo,2026,4,1,1,11.0,6.0,5.0,9.0,4.0,0.5454545454545454,0.5454545454545454,Bajo
1.13,CARTAGO,CONTRATISTA,Enero - Marzo,2026,12,2,1,58.0,58.0,0.0,0.0,0.0,1.0,1.0,Cumplido
1.13,CARTAGO,PLANTA,Enero - Marzo,2026,8,1,1,22.0,8.0,14.0,14.0,0.0,0.36363636363636365,0.36363636363636365,Bajo
1.13,TULUA,CONTRATISTA,Enero - Marzo,2026,10,3,1,106.0,100.0,6.0,7.0,1.0,0.9433962264150944,0.9433962264150944,Cumplido
1.13,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,15.0,11.0,4.0,4.0,0.0,0.7333333333333333,0.7333333333333333,Medio
1.17,CALI,PLANTA,Enero - Marzo,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
1.17,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,16.0,0.0,16.0,16.0,0.0,0.0,0.0,Crítico
1.17,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,18.0,3.0,15.0,15.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
